# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsStoredCompressed,1769817200875000000,1769817260952000000,0
VFS.fileByIdCache.hits,1769817200875000000,1769817260952000000,2
FileNameCache.totalMisses,1769817200875000000,1769817260952000000,3776
VFS.contentStorage.recordsDeduplicated,1769817200875000000,1769817260952000000,0
VFS.invertedFileNameIndex.requests,1769817200875000000,1769817260952000000,0
FileNameCache.queries,1769817200875000000,1769817260952000000,2802944
VFS.contentStorage.recordsReadDecompressed,1769817200875000000,1769817260952000000,35
VFS.contentStorage.recordsStoredSize,1769817200875000000,1769817260952000000,0
VFS.fileByIdCache.misses,1769817200875000000,1769817260952000000,6687
VFS.contentStorage.recordsReadSize,1769817200875000000,1769817260952000000,1709496
VFS.contentStorage.recordsUncompressedSize,1769817200875000000,1769817260952000000,0
VFS.contentStorage.recordsRead,1769817200875000000,1769817260952000000,173
VFS.contentStorage.recordsDecompressionTimeUs,1769817200875000000,1769817260952000000,23685
VFS.fileChildByName,1769817200875000000,1769817260952000000,214019
VFS.contentStorage.recordsStored,1769817200875000000,1769817260952000000,0
cacheStateStorage.set.counter,1769817200875000000,1769817260952000000,2
cacheStateStorage.get.counter,1769817200875000000,1769817260952000000,95
cacheStateStorage.get.duration,1769817200875000000,1769817260952000000,185
cacheStateStorage.set.duration,1769817200875000000,1769817260952000000,14
workspaceModel.entityStorageSnapshotImpl.instances.count,1769817200875000000,1769817260952000000,19
workspaceModel.workspaceFileIndexData.markDirty.ms,1769817200875000000,1769817260952000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1769817200875000000,1769817260952000000,0
workspaceModel.pre.handlers.ms,1769817200875000000,1769817260952000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1769817200875000000,1769817260952000000,0
workspaceModel.updates.ms,1769817200875000000,1769817260952000000,31
workspaceModel.on.changed.ms,1769817200875000000,1769817260952000000,6
workspaceModel.init.bridges.ms,1769817200875000000,1769817260952000000,1
workspaceModel.workspaceFileIndexData.init.ms,1769817200875000000,1769817260952000000,79
workspaceModel.updates.count,1769817200875000000,1769817260952000000,3
workspaceModel.cachedValue.calculated.count,1769817200875000000,1769817260952000000,9
workspaceModel.cachedValue.from.cache.count,1769817200875000000,1769817260952000000,21664
workspaceModel.update.unloaded.entities.ms,1769817200875000000,1769817260952000000,0
workspaceModel.on.before.changed.ms,1769817200875000000,1769817260952000000,14
